	100UNCULTURED_S7_PE_Abundance	14UNCULTURED_S8_PE_Abundance	18UNCULTURED_S12_PE_Abundance	19UNCULTURED_S14_PE_Abundance	24UNCULTURED_S3_PE_Abundance	26UNCULTURED_S4_PE_Abundance	28UNCULTURED_S6_PE_Abundance	2UNCULTURED_S1_PE_Abundance	300UNCULTURED_S9_PE_Abundance	36UNCULTURED_S10_PE_Abundance	400UNCULTURED_S11_PE_Abundance	40UNCULTURED_S15_PE_Abundance	4UNCULTURED_S2_PE_Abundance	500UNCULTURED_S13_PE_Abundance	8UNCULTURED_S5_PE_Abundance	lucaAR31_S16_PE_Abundance	lucaAR32_S17_PE_Abundance	lucaAR33_S18_PE_Abundance	lucaAR34_S19_PE_Abundance
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.10874364	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.77050307	0	43.24627357
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	9.290672726	84.9920983	18.13760547	0	94.01996703	0	8.075867766	0	0	0	53.01744447	57.96704301	0	0	0	0	21.07237904	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	5.986256785	0	10.95647507	0	23.07945283	0	0	0	6.933005117	0	0	0	0	0	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.698708559	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Streptococcus.s__Streptococcus_thermophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.320728646
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	154.9992888	116.0049399	501.3483416	252.1687981	140.5240921	401.7918787	404.4098237	257.7644729	225.4004009	358.1803491	245.9059808	292.6765471	152.7017627	412.1120909	411.1910027	106.9224724	192.1120837	172.0287212	83.33832108
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	934.606642	183.2650227	1135.135196	273.4477733	315.8364707	641.7139505	822.671283	363.6848267	1317.435893	718.1484601	1389.745832	744.8556728	489.4714752	1353.884299	946.0859625	2777.624959	4459.718212	2112.463677	5086.487841
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	38.26016206	0	0	0	0	0	0	0	29.46756457	71.01430526	178.0740699	239.6664711	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688.3850945	1437.495229	0	2258.770499
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	117.6636859	0	0	0	0	0	0	0	191.418969	0	169.0784914	0	0	120.9937454	0	0	6.25932778	14.90671939	94.484744
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.875817717	62.37117037
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Eggerthella.s__Eggerthella_sp_1_3_56FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.38158933
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Enterococcus.s__Enterococcus_hirae	0	0	0	0	0	0	0	0	0	19.0532643	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	0	0	47.01020051	0	0	0	0	0	0	17.25009514	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.95881496	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Parasutterella.s__Parasutterella_excrementihominis	135.6565041	0	0	0	0	0	0	0	243.0702952	0	204.1997746	0	0	141.9980959	0	0	0	12.97178991	66.18979249
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Sutterella.s__Sutterella_wadsworthensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.01271701	118.1234841	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	266.2354293	48.38967955	290.7133149	100.3165654	93.59842491	280.8853526	156.2041559	210.1062692	319.0411039	355.4835372	379.0820372	113.8618778	277.3922966	555.1101703	387.471323	466.7979074	98.54013325	289.0145165	354.0781492
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	1581.090445	434.7837325	2749.192084	372.8859763	1376.048145	777.2199289	1846.644381	480.243503	1872.079506	2109.018402	1959.829339	1005.48918	856.3430366	1936.215735	2399.009384	3638.381684	5854.231167	2867.452422	6399.115506
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.99751969	0	401.8318115	365.8336295
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	45.56077276	0	0	0	0	0	0	0	34.90495227	87.16716796	228.7357843	328.6804848	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753.9608845	1617.047863	0	2513.808892
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.810183888	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Clostridium.s__Clostridium_asparagiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.268721568	0	0	6.299339553
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.022999278	64.34851238
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Eggerthella.s__Eggerthella_sp_1_3_56FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.17185755
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	0	0	22.02612244	0	0	0	0	0	0	12.18441508	0	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0	0	0	0	0	0	0	0	3.252537976	0	4.760488116	0	0	0	0	0	3.292465329	3.261100544	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.03831741	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Holdemania.s__Holdemania_filiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.876321883
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Sutterella.s__Sutterella_wadsworthensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.62478794	118.2370644	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	1134.271279	384.1370338	699.5801827	178.2401513	1182.750007	401.7547502	989.1470661	289.5088006	1446.539761	988.9872061	1361.926432	795.7196611	383.503351	1319.360643	1777.837033	772.1029083	725.9241156	403.5805456	637.2443095
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	195.9073108	80.40537308	504.5852898	249.2704836	161.5337042	158.1857576	468.8684701	262.4794182	209.4944712	91.32842248	261.43795	377.3253503	160.7275806	376.8229726	527.7418365	359.3288295	296.3836567	525.5408482	1707.857636
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.48142576	89.07546579	1078.405524
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.7255645	10.28378679	21.5773886	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Collinsella.s__Collinsella_aerofaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.525970131	0	66.60725525	3.834149857	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	38.0860751	0	0	0	3.481723661	0	0	23.4525118	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	0	0	38.61261233	0	0	0	46.20398641	35.10737135	10.0256844	22.87102936	23.56221107	9.919756571	0	0	79.82157113	0	6.913955398	212.5644031	0
PWY-6151: S-adenosyl-L-methionine cycle I	861.0020917	558.3417183	2563.540371	1653.328586	1064.222855	2234.530419	2569.424252	1635.620924	1469.871999	2049.460536	1140.140027	1651.909671	899.9760951	2462.284032	2090.031861	9473.999118	13687.18491	4933.659377	10514.42543
PWY-6151: S-adenosyl-L-methionine cycle I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	2.904841544	0	0	0	0	0	0	0	0	0	0	0	0	16.55215132	15.79506859	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	43.93343709	0	0	0	0	0	0	0	48.1250065	62.63380539	250.5508551	313.9144965	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2733.324505	3647.411367	0	397.6606464
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_uniformis	0	0	0	0	0	0	0	0	0	0	6.426795196	0	0	0	0	1006.235392	912.7127786	476.5450775	1214.908366
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958.6010324	1830.441907	0	2771.649622
PWY-6151: S-adenosyl-L-methionine cycle I|g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.9219874	0	19.07291021	373.3824361
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.9680677	317.9340103	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bifidobacterium.s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	2.576802941	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.95170766	67.25333109	0	75.48355246
PWY-6151: S-adenosyl-L-methionine cycle I|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.56854289	4.69120876	0	64.47140213
PWY-6151: S-adenosyl-L-methionine cycle I|g__Blautia.s__Ruminococcus_obeum	0	0	9.808128088	5.389171261	0	4.04909964	0	4.756978879	5.367546877	0	0	15.99730409	0	15.082781	4.165689177	9.805146537	0	6.300600502	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03508575	0	0	8.948788238	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	2.594782448	5.327321816	0	0	0	0	0	0	0	0	25.25867253	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridiales_noname.s__Bacteroides_pectinophilus	0	0	4.842094957	16.89773785	0	25.25024439	217.3948412	0	0	0	0	0	0	0	17.45214845	0	0	130.4226449	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.691017467	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridium.s__Clostridium_bolteae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.100988391
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridium.s__Clostridium_clostridioforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.76704318
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridium.s__Clostridium_hathewayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.635286454
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridium.s__Clostridium_leptum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.585160481	0	0	4.784933305
PWY-6151: S-adenosyl-L-methionine cycle I|g__Collinsella.s__Collinsella_aerofaciens	0	0	0	0	0	0	0	0	0	7.020107707	0	0	0	0	4.678137534	0	86.1299409	3.450129149	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprobacter.s__Coprobacter_fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.506167622	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprococcus.s__Coprococcus_catus	0	0	0	0	0	0	0	0	0	0	0	0	3.784197071	1.379310345	0	0	9.779663255	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprococcus.s__Coprococcus_comes	0	0	8.892793697	3.056617581	0	3.620820531	7.240557285	0	5.818132159	4.095136283	0	0	0	0	11.07668598	0	2.259887006	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprococcus.s__Coprococcus_eutactus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396.9235986	44.35051805	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.80993404
PWY-6151: S-adenosyl-L-methionine cycle I|g__Dorea.s__Dorea_longicatena	0	0	10.62298794	0	0	0	7.605399725	1.628590029	1.711601341	0	0	1.869815105	0	0	4.462534046	0	25.65971251	3.388841459	228.0112934
PWY-6151: S-adenosyl-L-methionine cycle I|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_5_2_54FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.114723667
PWY-6151: S-adenosyl-L-methionine cycle I|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	136.4666675	16.99072309	5.206455374	14.16064787	52.49672598	15.05373281	0	37.51947906	0	9.759455104	11.29660694	0	85.69929182	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Erysipelotrichaceae_noname.s__Eubacterium_dolichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.568946007
PWY-6151: S-adenosyl-L-methionine cycle I|g__Escherichia.s__Escherichia_coli	0	0	37.50203454	0	0	0	8.462106916	0	0	7.878934525	0	0	0	0	3.570118963	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_eligens	7.898235024	0	21.88757679	133.4191568	19.1575763	18.24199671	59.03887415	29.06512298	3.328419642	11.60486551	3.180698623	33.71491849	16.69053142	22.06695875	144.4072788	0	30.36471594	140.2857276	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0	0	0	0	0	0	4.170861007	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_rectale	0	0	38.35950458	0	0	0	11.77768202	0	5.224542691	0	0	0	3.134008924	26.58513638	10.50815949	0	1962.148252	561.1792362	1663.824493
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_sp_3_1_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.33933765	0	0	14.30902158
PWY-6151: S-adenosyl-L-methionine cycle I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.584321382	9.688710214	41.81160152	59.85884936	17.49170043	51.41382561	104.1166932	63.87443593	121.6346284	57.21857931	54.27335791	39.02729112	3.071238536	140.7959212	66.35850273	1297.743042	663.7340708	475.8702849	1041.35976
PWY-6151: S-adenosyl-L-methionine cycle I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.07745418	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.63972701	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.08958259	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	0	0	0	0	0	0	0	2.218308543	0	0	0	0	9.150076185	10.65060231	84.88771201
PWY-6151: S-adenosyl-L-methionine cycle I|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.36162149	50.506986	58.52121277	23.61073163
PWY-6151: S-adenosyl-L-methionine cycle I|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	0	0	3.155680446	0	10.23370588	0	0	0	0	0	0	0	0	0	2.627022968	0	5.530697727	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Prevotella.s__Prevotella_copri	58.20701721	0	32.34150122	93.22099668	21.5180694	143.4670218	4.208242595	59.87583179	82.0805895	11.06776722	135.6758204	63.736108	67.58249545	437.2774457	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Prevotella.s__Prevotella_stercorea	0	0	0	0	0	15.64699692	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Roseburia.s__Roseburia_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.39343941	278.2095248	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Roseburia.s__Roseburia_inulinivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	12.27469519	2.731450567	36.63029706	16.22412138	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_albus	0	0	0	0	32.70638464	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_bromii	0	0	5.998849568	4.084257845	0	0	0	11.48665861	0	3.140886291	0	0	0	0	0	0	272.0178366	48.41680416	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_callidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.83056988	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	4.621195678	0	7.101759065	0	17.53418403	0	0	0	4.498526355	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_lactaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.442582835	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.8643555	42.50871031	36.49986848	287.6643758
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.913696756	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Subdoligranulum.s__Subdoligranulum_sp_4_3_54A2FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.48287755	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Treponema.s__Treponema_succinifaciens	0	0	0	15.23787765	4.905698201	28.89231395	0	18.61137363	0	0	0	33.56850298	1.906074692	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified	748.839034	520.3428938	1955.767931	1196.963003	912.4848848	1847.093992	1504.080412	1357.443207	1126.822886	1719.785298	865.3133641	1352.21477	697.9903372	1681.63323	1289.947623	1043.271672	1320.953661	1607.625906	618.7489776
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	998.4935653	381.9124544	2069.692974	1286.716955	702.6027782	1780.3199	2274.142184	1318.013184	1522.22061	1685.059074	1380.461002	1617.596771	778.4048788	1985.541719	1885.058901	5339.286286	11044.43564	5349.389127	10187.46493
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.57840451	0	33.49930797	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.23231069	0	88.01505325	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.05463493	0	101.9084423	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	4.559408639	0	0	0	0	0	0	0	0	0	0	0	0	10.61080107	7.798459351	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.94661273	25.18428659	0	34.88398967
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bilophila.s__Bilophila_wadsworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.77975945	0	0	48.01711182
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43072805	0	0	20.16031328
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_obeum	6.027896366	0	10.61678357	0	0	0	0	0	9.348024838	5.933194799	3.406304423	2.900479527	0	19.63619797	0	3.80478679	2.804438175	4.422265784	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_torques	0	0	2.468767961	0	0	0	0	0	0	0	0	0	0	0	0	37.0678486	3.976052123	0	25.88026292
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0	0	13.55032085	0	4.888597989	0	0	8.760953501	0	0	0	12.97423947	50.69327404
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	23.62490986	0	0	0	0	0	0	0	0	23.2778851	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_clostridioforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.679371749	0	0	7.371432426
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.960925012	2.353706615	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Coprococcus.s__Coprococcus_catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.472630561	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Desulfovibrio.s__Desulfovibrio_piger	32.35975034	0	0	0	0	0	0	9.207008293	0	0	32.61811231	8.173011722	0	9.331446799	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.323933416	19.16456574
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Dorea.s__Dorea_longicatena	0	0	11.14706507	0	0	0	20.40835786	0	5.499958108	0	0	0	0	0	8.72106672	0	20.17063761	0	227.3641281
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Enterococcus.s__Enterococcus_hirae	0	0	0	0	0	0	0	0	0	8.819983133	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	78.53048831	0	0	4.154408946	33.35566114	0	0	16.68006112	0	0	0	0	33.66294776	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Escherichia.s__Escherichia_coli	0	0	32.16460286	0	0	0	7.508354561	0	0	16.07748888	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_eligens	3.554052343	0	16.27257855	101.9827903	9.583625333	7.127799644	37.04133516	8.079280084	4.39940482	3.917451092	7.46206503	0	4.596679829	15.59518032	111.7965672	0	37.07516107	26.74561928	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_hallii	0	0	9.59441307	0	0	0	0	0	0	0	0	2.116337584	0	0	5.615135735	0	0	3.493268886	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_rectale	0	0	41.4489938	0	0	0	12.67667671	0	0	0	0	2.795558052	0	27.55478363	19.11539781	0	2429.310179	748.8884922	2165.41708
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_siraeum	0	9.585109379	0	0	8.828724488	0	0	0	0	9.176070646	0	0	0	0	0	14.49018745	0	40.96258121	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.10779982	7.833495638	0	47.23448158
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.767993865	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.642640571	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.47404851	0	0	16.66653995
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.450715143	0	0	0
